customer_id,customer_name,segment,country,region,state,city,postal_code
AA-10315,Alex Avila,Consumer,United States,Central,Minnesota,Minneapolis,55407.0
AA-10375,Allen Armold,Consumer,United States,West,Arizona,Mesa,85204.0
AA-10480,Andrew Allen,Consumer,United States,South,North Carolina,Concord,28027.0
AA-10645,Anna Andreadi,Consumer,United States,East,Pennsylvania,Chester,19013.0
AB-10015,Aaron Bergman,Consumer,United States,West,Washington,Seattle,98103.0
AB-10060,Adam Bellavance,Home Office,United States,East,New York,New York City,10009.0
AB-10105,Adrian Barton,Consumer,United States,West,Arizona,Phoenix,85023.0
AB-10150,Aimee Bixby,Consumer,United States,East,New York,Long Beach,11561.0
AB-10165,Alan Barnes,Consumer,United States,West,California,Los Angeles,90036.0
AB-10255,Alejandro Ballentine,Home Office,United States,East,Ohio,Lorain,44052.0
AB-10600,Ann Blume,Corporate,United States,West,Arizona,Tucson,85705.0
AC-10420,Alyssa Crouse,Corporate,United States,West,California,San Francisco,94122.0
AC-10450,Amy Cox,Consumer,United States,Central,Minnesota,Minneapolis,55407.0
AC-10615,Ann Chong,Corporate,United States,East,New York,New York City,10009.0
AC-10660,Anna Chung,Consumer,United States,Central,Texas,Huntsville,77340.0
AD-10180,Alan Dominguez,Home Office,United States,Central,Texas,Houston,77041.0
AF-10870,Art Ferguson,Consumer,United States,Central,Texas,College Station,77840.0
AF-10885,Art Foster,Consumer,United States,South,Kentucky,Louisville,40214.0
AG-10270,Alejandro Grove,Consumer,United States,West,Utah,West Jordan,84084.0
AG-10300,Aleksandra Gannaway,Corporate,United States,West,California,Los Angeles,90049.0
AG-10330,Alex Grayson,Consumer,United States,West,California,Stockton,95207.0
AG-10390,Allen Goldenen,Consumer,United States,East,Ohio,Cincinnati,45231.0
AG-10495,Andrew Gjertsen,Corporate,United States,East,Pennsylvania,Philadelphia,19140.0
AG-10525,Andy Gerbode,Corporate,United States,South,Florida,Saint Petersburg,33710.0
AG-10675,Anna Gayman,Consumer,United States,Central,Texas,Houston,77036.0
AG-10765,Anthony Garverick,Home Office,United States,East,Pennsylvania,Philadelphia,19120.0
AG-10900,Arthur Gainer,Consumer,United States,West,Arizona,Tucson,85705.0
AH-10030,Aaron Hawkins,Corporate,United States,East,Pennsylvania,Philadelphia,19134.0
AH-10075,Adam Hart,Corporate,United States,East,New York,New York City,10011.0
AH-10120,Adrian Hane,Home Office,United States,West,Arizona,Tucson,85705.0
AH-10195,Alan Haines,Corporate,United States,South,Florida,Tamarac,33319.0
