Customer Name,Sales,Profit,Quantity,Profit Margin
Sean Miller,25043.05,-1980.7393,50.0,-0.07909337321133009
Tamara Chand,19052.218,8981.323900000001,42.0,0.4714056862040945
Raymond Buch,15117.339,6976.0959,71.0,0.46146321783218597
Tom Ashbrook,14595.62,4703.7883,36.0,0.32227396301082106
Adrian Barton,14473.570999999998,5444.8055,73.0,0.3761895043040865
Ken Lonsdale,14175.229000000001,806.855,113.0,0.05692006809907621
Sanjit Chand,14142.333999999999,5757.411899999999,87.0,0.4071047890680562
Hunter Lopez,12873.297999999999,5622.4292000000005,50.0,0.4367512660702798
Sanjit Engle,12209.438000000002,2650.6769,78.0,0.21710064787584812
Christopher Conant,12129.072000000002,2177.0493,34.0,0.1794901786385636
